Guffey,1907,309000,38.76667,-105.51667,Found
Nova Petropolis,1967,305000,-29.43333,-50.91667,Found
Gressk,1955,303000,53.23333,27.33333,Found
Bruderheim,1960,303000,53.9,-112.88333,Fell
North Chile,1875,300000,-23,-69,Found
Mocs,1882,300000,46.8,24.03333,Fell
Putinga,1937,300000,-29.03333,-53.05,Fell
Tianlin,1956,300000,24.3,106.1,Found
Morland,1890,295000,39.33333,-100.06667,Found
Estacado,1883,290000,33.9,-101.75,Found
Morasko,1914,290000,52.46667,16.9,Found
Bur-Abor,1997,290000,3.98333,41.65,Found
Clovis (no. 1),1961,283000,34.3,-103.13472,Found
Rio Limay,1995,280000,-39.85,-69.48333,Found
Sanclerlandia,1971,279000,-16.21667,-50.3,Found
South Dahna,1957,275000,22.56667,48.3,Found
Mount Padbury,1964,272000,-25.66667,118.1,Found
Saint-S̩verin,1966,271000,45.3,0.23333,Fell
Lake Murray,1933,270000,34.1,-97,Found
Miles,1992,265000,-27.83333,150.33333,Found
Potter,1941,261000,41.23333,-103.3,Found
Tishomingo,1965,260000,34.25,-96.68333,Found
Suizhou,1986,260000,31.61667,113.46667,Fell
Dalgety Downs,1941,257000,-25.33333,116.18333,Found
Boguslavka,1916,256000,44.55,131.63333,Fell
Dho 020,2000,256000,19.03333,54.51667,Found
Uegit,1921,252000,3.81667,43.33333,Found
Netscha��vo,1846,250000,54.23333,35.15,Found
Pultusk,1868,250000,52.76667,21.26667,Fell
Omolon,1981,250000,64.02,161.80833,Fell
Shangdu,1957,247000,42.5,114,Found
St. Genevieve County,1888,244500,37.96667,-90.31667,Found
El Hammami,1997,240000,23.28333,-10.81667,Found
Sacramento Mountains,1890,237200,32.91667,-104.66667,Found
New Concord,1860,230000,40,-81.76667,Fell
Homestead,1875,230000,41.8,-91.86667,Fell
Muonionalusta,1906,230000,67.8,23.1,Found
Alfianello,1883,228000,45.26667,10.15,Fell
Bear Creek,1866,227000,39.6,-105.3,Found
Holbrook,1912,220000,34.9,-110.18333,Fell
Guixi,,220000,28.28333,117.18333,Found
Acu̱a,1981,217700,29.31667,-100.96667,Found
Ssyromolotovo,1873,217000,58.61667,98.93333,Found
Chinga,1913,209400,51.05833,94.4,Found
Barratta,1845,200000,-35.3,144.56667,Found
Lowell,1846,200000,42.68333,-71.35,Fell
Saratov,1918,200000,52.55,46.55,Fell
Patos de Minas (octahedrite),1925,200000,-18.58333,-46.53333,Found
Kainsaz,1937,200000,55.43333,53.25,Fell
Dimmitt,1942,200000,34.58333,-102.16667,Found
Kunashak,1949,200000,55.78333,61.36667,Fell
Liangcheng,1959,200000,40.5,112.5,Found
JaH 055,2004,200000,19.65167,55.69,Found
Porto Alegre,2005,200000,-30.03306,-51.23,Found
Moshesh,,200000,-30.1,28.71667,Found
Pallasovka,1990,198000,49.86667,46.61167,Found
Kenton County,1889,194000,38.81667,-84.6,Found
Owens Valley,1913,192800,37.46667,-118,Found
Guanghua,1932,190000,32.4,111.7,Found
Admire,1881,180000,38.7,-96.1,Found
Travis County (a),1889,175400,30.3,-97.7,Found
Iron Creek,1869,175000,53,-112,Found
Tanokami Mountain,1885,174000,34.91667,135.96667,Found
Tamir-Tsetserleg,1956,173000,47.45,101.47917,Found
Owasco,1984,168400,41.2,-103.68333,Found
Madoc,1854,168000,44.5,-77.46667,Found
Manlai,1954,166800,44.33333,106.5,Found
Djati-Pengilon,1884,166000,-7.5,111.5,Fell
Ṣo Julịo de Moreira,1883,162000,41.76611,-8.58361,Found
Knowles,1903,161000,36.9,-100.21667,Found
Tenham,1879,160000,-25.73333,142.95,Fell
Garabato,1995,160000,-28.86667,-60.2,Found
